Entity,Code,Year,"Current health expenditure per capita, PPP (current international $)","GDP per capita, PPP (constant 2017 international $)",Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2021,322.5256,1968.341,40000411,Asia,2021,2023,2020,2020
Algeria,DZA,2021,735.7535,10844.7705,44761101,Africa,2021,2023,2020,2020
Angola,AGO,2021,184.13707,6029.692,34532427,Africa,2021,2023,2020,2020
Antigua and Barbuda,ATG,2021,1082.4855,19062.412,92358,North America,2021,2023,2020,2020
Argentina,ARG,2021,2089.5183,19694.56,45312283,South America,2021,2023,2020,2020
Armenia,ARM,2021,1721.0919,13357.697,2870339,Asia,2021,2023,2020,2020
Australia,AUS,2021,5929.9834,48651.734,25956416,Oceania,2021,2023,2020,2020
Austria,AUT,2021,7236.662,53817.305,8967053,Europe,2021,2023,2021,2021
Azerbaijan,AZE,2021,655.9223,13726.77,10234373,Asia,2021,2023,2020,2020
Bahamas,BHS,2021,2390.5972,26132.207,396381,North America,2021,2023,2020,2020
Bahrain,BHR,2021,2379.6667,47994.414,1501762,Asia,2021,2023,2020,2020
Bangladesh,BGD,2021,132.84099,5591.3735,167658855,Asia,2021,2023,2020,2020
Barbados,BRB,2021,1041.7452,14003.922,282156,North America,2021,2023,2020,2020
Belarus,BLR,2021,1285.6967,19239.553,9251367,Europe,2021,2023,2020,2020
Belgium,BEL,2021,5883.0815,49030.992,11570842,Europe,2021,2023,2020,2020
Belize,BLZ,2021,436.2293,7586.0234,395356,North America,2021,2023,2020,2020
Benin,BEN,2021,87.03566,3186.486,13413423,Africa,2021,2023,2020,2020
Bhutan,BTN,2021,495.91943,11176.29,775451,Asia,2021,2023,2020,2020
Bolivia,BOL,2021,636.8682,7679.933,11937369,South America,2021,2023,2020,2020
Bosnia and Herzegovina,BIH,2021,1517.0033,14587.57,3244909,Europe,2021,2023,2020,2020
Botswana,BWA,2021,875.47754,13545.048,2401449,Africa,2021,2023,2020,2020
Brazil,BRA,2021,1529.4398,14109.764,209550291,South America,2021,2023,2020,2020
Brunei,BRN,2021,1555.2166,61603.55,451723,Asia,2021,2023,2020,2020
Bulgaria,BGR,2021,2087.7732,22466.918,6877222,Europe,2021,2023,2020,2020
Burkina Faso,BFA,2021,143.60023,2089.5679,21995249,Africa,2021,2023,2020,2020
Burundi,BDI,2021,46.212532,711.3553,12965487,Africa,2021,2023,2020,2020
Cambodia,KHM,2021,331.5808,4276.1846,16974308,Asia,2021,2023,2020,2020
Cameroon,CMR,2021,145.9452,3665.5105,26915764,Africa,2021,2023,2020,2020
Canada,CAN,2021,5930.698,48356.332,38454058,North America,2021,2023,2021,2021
Cape Verde,CPV,2021,366.30023,6073.3804,516655,Africa,2021,2023,2020,2020
Central African Republic,CAF,2021,84.09585,847.765,5112102,Africa,2021,2023,2020,2020
Chad,TCD,2021,84.58472,1489.1868,17828274,Africa,2021,2023,2020,2020
Chile,CHL,2021,2578.846,25412.752,19456323,South America,2021,2023,2021,2021
China,CHN,2021,962.2887,16296.609,1426437276,Asia,2021,2023,2020,2020
Colombia,COL,2021,1335.8585,13358.298,51188174,South America,2021,2023,2020,2020
Comoros,COM,2021,179.3882,3222.374,818178,Africa,2021,2023,2020,2020
Congo,COG,2021,158.55507,3748.9326,5892186,Africa,2021,2023,2020,2020
Costa Rica,CRI,2021,1737.4453,19778.387,5059992,North America,2021,2023,2020,2020
Cote d'Ivoire,CIV,2021,200.1619,5092.1636,29639735,Africa,2021,2023,2020,2020
Croatia,HRV,2021,2228.9702,27002.2,3924607,Europe,2021,2023,2020,2020
Cyprus,CYP,2021,3218.9033,39871.87,1317312,Europe,2021,2023,2020,2020
Czechia,CZE,2021,3846.0208,38639.98,10530683,Europe,2021,2023,2020,2020
Democratic Republic of Congo,COD,2021,44.61447,1044.0712,99148931,Africa,2021,2023,2020,2020
Denmark,DNK,2021,7139.6416,58802.96,5856773,Europe,2021,2023,2021,2021
Djibouti,DJI,2021,105.22364,4759.259,1121251,Africa,2021,2023,2020,2020
Dominica,DMA,2021,661.16205,10255.859,67223,North America,2021,2023,2020,2020
Dominican Republic,DOM,2021,873.798,16768.426,11123480,North America,2021,2023,2020,2020
East Timor,TLS,2021,346.95108,4861.6934,1350142,Asia,2021,2023,2020,2020
Ecuador,ECU,2021,930.9984,10356.975,17682454,South America,2021,2023,2020,2020
Egypt,EGY,2021,524.0204,11989.6,110957004,Africa,2021,2023,2020,2020
El Salvador,SLV,2021,855.0823,8294.537,6255781,North America,2021,2023,2020,2020
Equatorial Guinea,GNQ,2021,594.28143,15045.528,1758796,Africa,2021,2023,2020,2020
Estonia,EST,2021,3202.4124,38717.695,1331750,Europe,2021,2023,2021,2021
Eswatini,SWZ,2021,567.276,8290.409,1206599,Africa,2021,2023,2020,2020
Ethiopia,ETH,2021,82.734276,2253.2358,122138590,Africa,2021,2023,2020,2020
Fiji,FJI,2021,445.08255,10961.847,916717,Oceania,2021,2023,2020,2020
Finland,FIN,2021,4896.9087,47371.22,5541068,Europe,2021,2023,2020,2020
France,FRA,2021,5740.3823,42344.945,66083547,Europe,2021,2023,2020,2020
Gabon,GAB,2021,502.63596,13903.289,2376728,Africa,2021,2023,2020,2020
Gambia,GMB,2021,54.686485,2042.6202,2576014,Africa,2021,2023,2020,2020
Georgia,GEO,2021,1107.535,13966.326,3788450,Asia,2021,2023,2020,2020
Germany,DEU,2021,7517.255,53395.65,83697082,Europe,2021,2023,2021,2021
Ghana,GHA,2021,221.33165,5263.5264,32518662,Africa,2021,2023,2020,2020
Greece,GRC,2021,2652.9507,27009.207,10579561,Europe,2021,2023,2020,2020
Grenada,GRD,2021,810.37506,13175.521,116695,North America,2021,2023,2020,2020
Guatemala,GTM,2021,556.0813,8389.106,17598654,North America,2021,2023,2020,2020
Guinea,GIN,2021,110.522934,2604.1172,13710516,Africa,2021,2023,2020,2020
Guinea-Bissau,GNB,2021,164.55724,1803.6306,2058842,Africa,2021,2023,2020,2020
Guyana,GUY,2021,1070.9634,18430.602,815484,South America,2021,2023,2020,2020
Haiti,HTI,2021,100.56252,2970.463,11374592,North America,2021,2023,2020,2020
Honduras,HND,2021,557.17334,5572.177,10289882,North America,2021,2023,2021,2021
Hungary,HUN,2021,2407.7097,31232.102,9707848,Europe,2021,2023,2020,2020
Iceland,ISL,2021,5614.5244,53135.953,372649,Europe,2021,2023,2021,2021
India,IND,2021,190.73825,6172.0425,1414203889,Asia,2021,2023,2020,2020
Indonesia,IDN,2021,414.8325,11515.681,276758056,Asia,2021,2023,2020,2020
Iran,IRN,2021,768.99994,14432.362,88455491,Asia,2021,2023,2020,2020
Iraq,IRQ,2021,463.90887,8848.118,43071210,Asia,2021,2023,2020,2020
Ireland,IRL,2021,7305.178,104671.875,5028430,Europe,2021,2023,2021,2021
Israel,ISR,2021,3456.981,39680.664,8942925,Asia,2021,2023,2020,2020
Italy,ITA,2021,4397.484,42562.555,59729354,Europe,2021,2023,2021,2021
Jamaica,JAM,2021,645.3323,9206.292,2837682,North America,2021,2023,2020,2020
Japan,JPN,2021,4627.967,40044.508,125679341,Asia,2021,2023,2020,2020
Jordan,JOR,2021,722.0725,9231.036,11066358,Asia,2021,2023,2020,2020
Kazakhstan,KAZ,2021,1001.70056,25361.508,19743607,Asia,2021,2023,2020,2020
Kenya,KEN,2021,203.22778,4497.363,53219165,Africa,2021,2023,2020,2020
Kiribati,KIR,2021,240.16252,1897.0619,128386,Oceania,2021,2023,2020,2020
Kuwait,KWT,2021,2922.3489,43922.63,4360749,Asia,2021,2023,2020,2020
Kyrgyzstan,KGZ,2021,269.44397,4790.6587,6820483,Asia,2021,2023,2020,2020
Laos,LAO,2021,213.96565,7763.9487,7453191,Asia,2021,2023,2020,2020
Latvia,LVA,2021,2331.2312,29575.568,1885592,Europe,2021,2023,2020,2020
Lebanon,LBN,2021,1059.5162,13791.2705,5718127,Asia,2021,2023,2020,2020
Lesotho,LSO,2021,298.7759,2225.253,2261549,Africa,2021,2023,2020,2020
Liberia,LBR,2021,131.55338,1383.8281,5259326,Africa,2021,2023,2020,2020
Lithuania,LTU,2021,3411.8667,39432.402,2794489,Europe,2021,2023,2021,2021
Luxembourg,LUX,2021,7367.0073,118510,640276,Europe,2021,2023,2021,2021
Madagascar,MDG,2021,58.77327,1436.2069,29691087,Africa,2021,2023,2020,2020
Malawi,MWI,2021,82.4331,1489.6014,20047263,Africa,2021,2023,2020,2020
Malaysia,MYS,2021,1122.7588,25852.19,34282405,Asia,2021,2023,2020,2020
Maldives,MDV,2021,1602.8785,13809.354,516162,Asia,2021,2023,2020,2020
Mali,MLI,2021,96.515305,2123.8281,22388638,Africa,2021,2023,2020,2020
Malta,MLT,2021,4694.6636,41753.812,524383,Europe,2021,2023,2020,2020
Marshall Islands,MHL,2021,634.63336,5724.7295,41386,Oceania,2021,2023,2020,2020
Mauritania,MRT,2021,186.95036,5236.41,4734875,Africa,2021,2023,2020,2020
Mauritius,MUS,2021,1333.5242,20231.852,1279627,Africa,2021,2023,2020,2020
Mexico,MEX,2021,1192.6029,18639.662,127648152,North America,2021,2023,2020,2020
Micronesia (country),FSM,2021,371.0382,3420.516,111636,Oceania,2021,2023,2020,2020
Moldova,MDA,2021,876.81946,11848.899,3023780,Europe,2021,2023,2020,2020
Mongolia,MNG,2021,608.50726,11666.779,3339678,Asia,2021,2023,2020,2020
Montenegro,MNE,2021,2255.307,18259.084,603854,Europe,2021,2023,2020,2020
Morocco,MAR,2021,451.52618,7546.7163,36954442,Africa,2021,2023,2020,2020
Mozambique,MOZ,2021,99.09911,1237.946,31707797,Africa,2021,2023,2020,2020
Myanmar,MMR,2021,243.45358,4708.5596,53387102,Asia,2021,2023,2020,2020
Namibia,NAM,2021,844.4021,9041.77,2810553,Africa,2021,2023,2020,2020
Nauru,NRU,2021,1509.9622,10812.89,11726,Oceania,2021,2023,2020,2020
Nepal,NPL,2021,205.884,3761.8027,29475018,Asia,2021,2023,2020,2020
Netherlands,NLD,2021,7285.77,57334.703,17730564,Europe,2021,2023,2021,2021
New Zealand,NZL,2021,4510.8447,42052.14,5107696,Oceania,2021,2023,2020,2020
Nicaragua,NIC,2021,471.2418,5230.574,6644745,North America,2021,2023,2020,2020
Niger,NER,2021,79.44444,1214.541,24502144,Africa,2021,2023,2020,2020
Nigeria,NGA,2021,173.49228,4865.087,218529285,Africa,2021,2023,2020,2020
North Macedonia,MKD,2021,1295.0067,15779.787,1851109,Europe,2021,2023,2020,2020
Norway,NOR,2021,6921.8823,65915.53,5408081,Europe,2021,2023,2021,2021
Oman,OMN,2021,1814.5679,33098.21,4500427,Asia,2021,2023,2020,2020
Pakistan,PAK,2021,158.06438,5004.352,239477805,Asia,2021,2023,2020,2020
Palau,PLW,2021,3025.2783,16404.549,17809,Oceania,2021,2023,2020,2020
Panama,PAN,2021,2600.2441,26606.295,4345410,North America,2021,2023,2020,2020
Papua New Guinea,PNG,2021,99.38541,3741.6616,10012899,Oceania,2021,2023,2020,2020
Paraguay,PRY,2021,1060.0106,13317.321,6684184,South America,2021,2023,2020,2020
Peru,PER,2021,753.3043,11187.344,33155883,South America,2021,2023,2020,2020
Philippines,PHL,2021,418.9725,7773.2603,113100946,Asia,2021,2023,2020,2020
Poland,POL,2021,2528.5144,34944.04,38040304,Europe,2021,2023,2021,2021
Portugal,PRT,2021,4076.176,33636.44,10390956,Europe,2021,2023,2021,2021
Qatar,QAT,2021,3927.9507,89019.07,2814989,Asia,2021,2023,2020,2020
Romania,ROU,2021,2012.3804,29057.408,19248159,Europe,2021,2023,2020,2020
Russia,RUS,2021,2278.2324,26586.555,145836172,Europe,2021,2023,2020,2020
Rwanda,RWA,2021,159.55722,2066.4717,13355260,Africa,2021,2023,2020,2020
Saint Kitts and Nevis,KNA,2021,1537.3588,26678.33,46786,North America,2021,2023,2020,2020
Saint Lucia,LCA,2021,877.32166,11651.172,178540,North America,2021,2023,2020,2020
Saint Vincent and the Grenadines,VCT,2021,701.0794,13690.9,102848,North America,2021,2023,2020,2020
Samoa,WSM,2021,332.74316,6062.4717,213792,Oceania,2021,2023,2020,2020
San Marino,SMR,2021,5167.152,56364.215,34599,Europe,2021,2023,2020,2020
Sao Tome and Principe,STP,2021,208.2045,3507.3613,221975,Africa,2021,2023,2020,2020
Senegal,SEN,2021,182.72922,3384.442,17220866,Africa,2021,2023,2020,2020
Serbia,SRB,2021,1660.5652,18262.799,6835434,Europe,2021,2023,2020,2020
Seychelles,SYC,2021,1741.6885,26704.926,123000,Africa,2021,2023,2020,2020
Sierra Leone,SLE,2021,146.51172,1586.355,8094603,Africa,2021,2023,2020,2020
Singapore,SGP,2021,5827.5684,94910.1,5546292,Asia,2021,2023,2020,2020
Slovakia,SVK,2021,2268.1375,30960.959,5442767,Europe,2021,2023,2020,2020
Slovenia,SVN,2021,4046.4885,40104.36,2113495,Europe,2021,2023,2021,2021
Solomon Islands,SLB,2021,115.357315,2469.1743,762594,Oceania,2021,2023,2020,2020
South Africa,ZAF,2021,1156.661,12866.569,61502601,Africa,2021,2023,2020,2020
South Korea,KOR,2021,4289.0635,44299.91,51848401,Asia,2021,2023,2021,2021
Spain,ESP,2021,4047.7537,36051.418,47735670,Europe,2021,2023,2020,2020
Sri Lanka,LKA,2021,542.7422,12939.44,22700377,Asia,2021,2023,2020,2020
Sudan,SDN,2021,157.4316,3874.8003,48066927,Africa,2021,2023,2020,2020
Suriname,SUR,2021,1095.1166,15328.997,617905,South America,2021,2023,2020,2020
Sweden,SWE,2021,6932.6284,54160.367,10416136,Europe,2021,2023,2021,2021
Switzerland,CHE,2021,8493.349,67928.195,8707018,Europe,2021,2023,2020,2020
Tajikistan,TJK,2021,312.98425,3651.9426,9966912,Asia,2021,2023,2020,2020
Tanzania,TZA,2021,101.512405,2552.5469,62830413,Africa,2021,2023,2020,2020
Thailand,THA,2021,773.99445,16865.549,71727340,Asia,2021,2023,2020,2020
Togo,TGO,2021,130.01433,2058.565,8878384,Africa,2021,2023,2020,2020
Tonga,TON,2021,357.43738,6357.07,105504,Oceania,2021,2023,2020,2020
Trinidad and Tobago,TTO,2021,1672.0251,23392.992,1487715,North America,2021,2023,2020,2020
Tunisia,TUN,2021,681.2896,10040.124,12048625,Africa,2021,2023,2020,2020
Turkey,TUR,2021,1260.7606,28726.191,86686255,Asia,2021,2023,2020,2020
Turkmenistan,TKM,2021,907.3368,14269.641,7092041,Asia,2021,2023,2020,2020
Tuvalu,TUV,2021,1203.1434,4577.966,10214,Oceania,2021,2023,2020,2020
Uganda,UGA,2021,94.70132,2240.4902,45910932,Africa,2021,2023,2020,2020
Ukraine,UKR,2021,945.31696,12407.79,44298641,Europe,2021,2023,2020,2020
United Arab Emirates,ARE,2021,4033.4153,67668.29,9789054,Asia,2021,2023,2020,2020
United Kingdom,GBR,2021,6133.5996,45567.57,67668789,Europe,2021,2023,2021,2021
United States,USA,2021,11702.409,60158.91,340161441,North America,2021,2023,2020,2020
Uruguay,URY,2021,2110.571,22073.375,3396692,South America,2021,2023,2020,2020
Uzbekistan,UZB,2021,532.82623,7407.7275,34243696,Asia,2021,2023,2020,2020
Vanuatu,VUT,2021,119.83211,2848.9702,305883,Oceania,2021,2023,2020,2020
Vietnam,VNM,2021,516.1773,10450.621,98935101,Asia,2021,2023,2020,2020
Zambia,ZMB,2021,188.6641,3183.651,19603610,Africa,2021,2023,2020,2020
Zimbabwe,ZWE,2021,118.12706,1990.3195,15797220,Africa,2021,2023,2020,2020
