,Country,HealthExpenditurePercentage,Region,Population
91,Lesotho,13.426603626643798,Africa,2261549
30,Central African Republic,9.919712420305157,Africa,5112102
92,Liberia,9.506482777738073,Africa,5259326
112,Namibia,9.338902670605423,Africa,2810553
145,Sierra Leone,9.235746097185055,Africa,8094603
67,Guinea-Bissau,9.123666453651873,Africa,2058842
150,South Africa,8.989661501834718,Africa,61502601
110,Mozambique,8.005123809923859,Africa,31707797
135,Rwanda,7.7212390568910285,Africa,13355260
24,Burkina Faso,6.872245213950694,Africa,21995249
53,Eswatini,6.842557466103301,Africa,1206599
164,Tunisia,6.7856691809782435,Africa,12048625
1,Algeria,6.784408208546229,Africa,44761101
103,Mauritius,6.59121171902602,Africa,1279627
118,Niger,6.541108122327695,Africa,24502144
144,Seychelles,6.521974634941883,Africa,123000
25,Burundi,6.496406507409167,Africa,12965487
20,Botswana,6.4634509969990495,Africa,2401449
161,Togo,6.315774823724293,Africa,8878384
29,Cape Verde,6.031241349545634,Africa,516655
109,Morocco,5.9830814098576885,Africa,36954442
141,Sao Tome and Principe,5.9362147834612875,Africa,221975
178,Zimbabwe,5.935080272287942,Africa,15797220
177,Zambia,5.926029580503641,Africa,19603610
31,Chad,5.679926789574015,Africa,17828274
35,Comoros,5.566957777092293,Africa,818178
96,Malawi,5.5339032307568985,Africa,20047263
142,Senegal,5.399094444519954,Africa,17220866
99,Mali,4.54440286386643,Africa,22388638
84,Kenya,4.5188209179468055,Africa,53219165
49,Egypt,4.3706245412691,Africa,110957004
42,Democratic Republic of Congo,4.273125242799533,Africa,99148931
66,Guinea,4.244161284292428,Africa,13710516
36,Congo,4.2293390390640795,Africa,5892186
168,Uganda,4.226812507370038,Africa,45910932
62,Ghana,4.205006932234633,Africa,32518662
95,Madagascar,4.092256484772493,Africa,29691087
154,Sudan,4.062960354369747,Africa,48066927
27,Cameroon,3.9815791006464174,Africa,26915764
159,Tanzania,3.9769065555661296,Africa,62830413
51,Equatorial Guinea,3.949887501455582,Africa,1758796
38,Cote d'Ivoire,3.9307829779860177,Africa,29639735
54,Ethiopia,3.671798397664372,Africa,122138590
58,Gabon,3.6152306119796545,Africa,2376728
102,Mauritania,3.570200958290126,Africa,4734875
119,Nigeria,3.5660673694016154,Africa,218529285
2,Angola,3.053838736704959,Africa,34532427
16,Benin,2.731399416159368,Africa,13413423
59,Gambia,2.677271330225756,Africa,2576014
44,Djibouti,2.210924851956996,Africa,1121251
0,Afghanistan,16.385656753580808,Asia,40000411
5,Armenia,12.88464545946805,Asia,2870339
98,Maldives,11.60719393535715,Asia,516162
81,Japan,11.55705796160612,Asia,125679341
151,South Korea,9.681878586209317,Asia,51848401
78,Israel,8.712003912031312,Asia,8942925
158,Tajikistan,8.570349654455137,Asia,9966912
60,Georgia,7.930038293535466,Asia,3788450
82,Jordan,7.822226021001326,Asia,11066358
26,Cambodia,7.754127359235147,Asia,16974308
90,Lebanon,7.682513369598544,Asia,5718127
174,Uzbekistan,7.192843284259578,Asia,34243696
47,East Timor,7.136424522369099,Asia,1350142
86,Kuwait,6.653401447044496,Asia,4360749
166,Turkmenistan,6.358511752327897,Asia,7092041
146,Singapore,6.140092993264152,Asia,5546292
170,United Arab Emirates,5.960569271072168,Asia,9789054
33,China,5.904840080534545,Asia,1426437276
87,Kyrgyzstan,5.624361635279924,Asia,6820483
122,Oman,5.482374726609083,Asia,4500427
114,Nepal,5.473014307741338,Asia,29475018
129,Philippines,5.389919851262411,Asia,113100946
75,Iran,5.3283027407433385,Asia,88455491
76,Iraq,5.243023092594379,Asia,43071210
107,Mongolia,5.215726294292537,Asia,3339678
111,Myanmar,5.170447030127855,Asia,53387102
10,Bahrain,4.958215970716926,Asia,1501762
176,Vietnam,4.939202177554807,Asia,98935101
8,Azerbaijan,4.7784169181825,Asia,10234373
160,Thailand,4.589204003972832,Asia,71727340
17,Bhutan,4.43724554391484,Asia,775451
132,Qatar,4.412482291715696,Asia,2814989
165,Turkey,4.388888871483171,Asia,86686255
97,Malaysia,4.34299299208307,Asia,34282405
153,Sri Lanka,4.194479822928968,Asia,22700377
83,Kazakhstan,3.949688480669209,Asia,19743607
74,Indonesia,3.602327122468919,Asia,276758056
123,Pakistan,3.158538408169529,Asia,239477805
73,India,3.0903586616586,Asia,1414203889
88,Laos,2.755886962519472,Asia,7453191
22,Brunei,2.5245567828477413,Asia,451723
11,Bangladesh,2.3758203597023164,Asia,167658855
61,Germany,14.07840339053837,Europe,83697082
57,France,13.556239829807312,Europe,66083547
171,United Kingdom,13.460449174709119,Europe,67668789
7,Austria,13.446719414879658,Europe,8967053
156,Sweden,12.800187266087026,Europe,10416136
115,Netherlands,12.70743479738615,Europe,17730564
157,Switzerland,12.503422179847409,Europe,8707018
108,Montenegro,12.351698475126135,Europe,603854
43,Denmark,12.141636407418947,Europe,5856773
